,Unnamed: 0,token,pos
287,287,забайтило,VERB
288,288,и,CONJ
289,289,я,PRON
290,290,продолжил,VERB
291,291,к,PREP
292,292,ней,PRON
293,293,подкатыват,VERB
294,294,Я,PRON
295,295,вкрашился,VERB
296,296,в,PREP
297,297,нее,PRON
298,298,практически,ADVB
299,299,с,PREP
300,300,первого,ADJ
301,301,взгляда,NOUN
302,302,ведь,PRCL
303,303,она,PRON
304,304,носила,VERB
305,305,каре,NOUN
306,306,любила,VERB
307,307,бухлишко,NOUN
308,308,курила,VERB
309,309,айкос,NOUN
310,310,слушала,VERB
311,311,грайм,NOUN
312,312,и,CONJ
313,313,синтипоп,NOUN
314,314,всегда,ADVB
315,315,носила,VERB
316,316,чокер,NOUN
317,317,и,CONJ
318,318,страдала,VERB
319,319,рпп,NOUN
320,320,что,CONJ
321,321,сильно,ADVB
322,322,возвышало,VERB
323,323,ее,PRON
324,324,в,PREP
325,325,моих,PRON
326,326,глазах,NOUN
327,327,Но,CONJ
328,328,на,PREP
329,329,вписке,NOUN
330,330,произошло,VERB
331,331,то,PRON
332,332,из-за,PREP
333,333,чего,PRON
334,334,я,PRON
335,335,и,CONJ
336,336,записываю,VERB
337,337,это,PRON
338,338,видео,NOUN
339,339,мы,PRON
340,340,лампово,ADVB
341,341,сидели,VERB
342,342,под,PREP
343,343,пледиком,NOUN
344,344,она,PRON
345,345,играла,VERB
346,346,на,PREP
347,347,укулеле,NOUN
348,348,и,CONJ
349,349,пописала,VERB
350,350,винишко,NOUN
351,351,а,CONJ
352,352,я,PRON
353,353,палил,VERB
354,354,стрим,NOUN
355,355,колабы,NOUN
356,356,братишкина,NOUN
357,357,и,CONJ
358,358,дк,NOUN
359,359,как,CONJ
360,360,вдруг,ADVB
361,361,на,PREP
362,362,нашу,PRON
363,363,тусу,NOUN
364,364,залетают,VERB
365,365,два,NUM
366,366,тела,NOUN
367,367,в,PREP
368,368,одном,PRON
369,369,из,PREP
370,370,которых,PRON
371,371,я,PRON
372,372,сразу,ADVB
373,373,узнал,VERB
374,374,краша,NOUN
375,375,моей,PRON
376,376,тян,NOUN
377,377,она,PRON
378,378,называла,VERB
379,379,его,PRON
380,380,сасным,ADJ
381,381,куном,NOUN
382,382,и,CONJ
383,383,не,PRCL
384,384,таким,PRON
385,385,как,CONJ
386,386,все,PRON
387,387,потомучто,CONJ
388,388,он,PRON
389,389,не,PRCL
390,390,верил,VERB
391,391,в,PREP
392,392,бога,NOUN
393,393,читал,VERB
394,394,нитше,NOUN
395,395,имел,VERB
396,396,кучу,NOUN
397,397,абстрактных,ADJ
398,398,татуировок,NOUN
399,399,был,VERB
400,400,веганом,NOUN
401,401,и,CONJ
402,402,чайлд,NOUN
403,403,фри,NOUN
404,404,а,CONJ
405,405,ещё,ADVB
406,406,он,PRON
407,407,работал,VERB
408,408,в,PREP
409,409,бершке,NOUN
410,410,и,CONJ
411,411,хоть,CONJ
412,412,я,PRON
413,413,и,CONJ
414,414,видел,VERB
415,415,в,PREP
416,416,нем,PRON
417,417,типикал,ADJ
418,418,зумерка,NOUN
419,419,и,CONJ
420,420,позера,NOUN
421,421,у,PREP
422,422,моей,PRON
423,423,краш,NOUN
424,424,на,PREP
425,425,его,PRON
426,426,счет,NOUN
427,427,было,VERB
428,428,совсем,ADVB
429,429,другое,ADJ
430,430,мнение,NOUN
431,431,Когда,CONJ
432,432,мы,PRON
433,433,всей,PRON
434,434,пати,NOUN
435,435,собрались,VERB
436,436,у,PREP
437,437,ящика,NOUN
438,438,овнер,NOUN
439,439,хаты,NOUN
440,440,достал,VERB
441,441,Нинтендо,NOUN
442,442,свич,NOUN
443,443,и,CONJ
444,444,начал,VERB
445,445,гамать,NOUN
446,446,в,PREP
447,447,фортнайт,NOUN
448,448,в,PREP
449,449,то,PRON
450,450,время,NOUN
451,451,как,CONJ
452,452,молодые,ADJ
453,453,принесли,VERB
454,454,сидр,NOUN
455,455,йегерместер,NOUN
456,456,и,CONJ
457,457,прочий,ADJ
458,458,стаф,NOUN
459,459,чтобы,CONJ
460,460,отметить,VERB
461,461,наш,PRON
462,462,анлреграундный,ADJ
463,463,впис,NOUN
464,464,и,CONJ
465,465,вот,PRCL
466,466,в,PREP
467,467,разгар,NOUN
468,468,тусовки,NOUN
469,469,я,PRON
470,470,разглядывая,CONV
471,471,шайбы,NOUN
472,472,снюса,NOUN
473,473,и,CONJ
474,474,пачки,NOUN
475,475,филипа,NOUN
476,476,мориса,NOUN
477,477,на,PREP
478,478,подоконнике,NOUN
479,479,вдруг,ADVB
480,480,замечаю,VERB
481,481,что,CONJ
482,482,моя,ADJ
483,483,тян,NOUN
484,484,и,CONJ
485,485,тот,PRON
486,486,самый,ADJ
487,487,кун,NOUN
488,488,куда-то,ADVB
489,489,пропали,VERB
490,490,Обойдя,CONV
491,491,всю,PRON
492,492,хату,NOUN
493,493,я,PRON
494,494,вдруг,ADVB
495,495,услышал,VERB
496,496,какие-то,PRON
497,497,звуки,NOUN
498,498,из,PREP
499,499,дальней,ADJ
500,500,комнаты,NOUN
501,501,и,CONJ
502,502,когда,CONJ
503,503,открыл,VERB
504,504,дверь,NOUN
505,505,увидел,VERB
506,506,как,CONJ
507,507,эта,PRON
508,508,шкура,NOUN
509,509,няшится,VERB
510,510,с,PREP
511,511,ним,PRON
512,512,прямо,ADVB
513,513,на,PREP
514,514,моем,PRON
515,515,свитшоте,NOUN
516,516,с,PREP
517,517,принтом,NOUN
518,518,Евангелиона,NOUN
519,519,из,PREP
520,520,юникло,NOUN
521,521,сильно,ADVB
522,522,зафлеймившись,CONV
523,523,я,PRON
524,524,офк,ADVB
525,525,решил,VERB
526,526,офнуться,VERB
527,527,со,PREP
528,528,вписки,NOUN
